checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,15,existing paid,furniture/equipment,1366,<100,1<=X<4,4,male single,none,4,life insurance,52,none,own,2,unskilled resident,1,yes,yes,good
<0,12,existing paid,furniture/equipment,1107,<100,1<=X<4,3,female div/dep/mar,none,3,real estate,30,none,own,2,skilled,2,yes,yes,good
0<=X<200,36,existing paid,furniture/equipment,2671,<100,>=7,3,male single,none,4,real estate,49,none,own,2,unskilled resident,1,yes,yes,bad
no checking,8,existing paid,new car,1364,<100,1<=X<4,4,male single,none,4,car,47,none,own,2,unskilled resident,1,none,yes,good
<0,24,all paid,used car,1282,<100,>=7,4,male mar/wid,none,2,car,45,none,own,1,skilled,1,none,yes,bad
0<=X<200,24,existing paid,used car,1231,<100,1<=X<4,4,male single,none,4,no known property,63,none,own,3,unskilled resident,1,none,yes,bad
no checking,18,existing paid,new car,2600,<100,4<=X<7,4,male single,guarantor,4,real estate,64,none,own,2,skilled,1,yes,yes,good
<0,18,existing paid,furniture/equipment,2600,<100,4<=X<7,4,male single,none,3,life insurance,42,none,own,1,unskilled resident,1,yes,no,good
no checking,6,critical/other existing credit,radio/tv,448,<100,>=7,4,male single,none,4,life insurance,51,none,own,3,skilled,2,yes,yes,good
>=200,24,all paid,business,1546,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,45,none,own,2,unskilled resident,1,none,yes,bad
no checking,12,existing paid,new car,684,500<=X<1000,>=7,4,male single,none,4,real estate,56,none,own,1,unskilled resident,1,yes,yes,good
no checking,12,existing paid,new car,1107,<100,>=7,3,female div/dep/mar,none,3,car,32,none,own,2,unskilled resident,1,none,yes,good
<0,12,no credits/all paid,new car,684,100<=X<500,>=7,4,male single,none,4,real estate,42,none,own,3,unskilled resident,2,yes,yes,good
no checking,11,existing paid,new car,2214,100<=X<500,1<=X<4,2,male single,none,2,real estate,28,none,rent,2,skilled,1,none,yes,good
0<=X<200,18,existing paid,radio/tv,2389,<100,1<=X<4,2,female div/dep/mar,none,4,real estate,49,none,own,1,skilled,1,yes,yes,good
>=200,6,existing paid,new car,1169,<100,1<=X<4,4,male single,none,4,real estate,48,none,own,2,skilled,1,yes,yes,good
<0,11,critical/other existing credit,new car,1364,<100,<1,4,male single,none,4,life insurance,47,none,own,3,skilled,1,yes,yes,good
>=200,11,critical/other existing credit,new car,1053,<100,1<=X<4,2,male mar/wid,none,3,car,26,none,own,2,skilled,1,none,yes,good
0<=X<200,24,existing paid,business,1231,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,36,none,own,3,unemp/unskilled non res,1,none,yes,bad
no checking,14,existing paid,business,1364,<100,1<=X<4,4,male single,none,4,no known property,50,none,own,2,skilled,1,yes,yes,good
0<=X<200,24,existing paid,used car,2384,<100,>=7,4,male single,none,3,life insurance,48,none,rent,2,skilled,1,yes,yes,bad
<0,16,existing paid,new car,795,100<=X<500,>=7,4,male single,none,2,real estate,32,none,own,2,skilled,2,none,yes,bad
0<=X<200,12,critical/other existing credit,new car,674,100<=X<500,>=7,4,female div/dep/mar,none,4,life insurance,42,none,own,3,unskilled resident,2,yes,yes,good
<0,27,no credits/all paid,used car,1919,<100,1<=X<4,4,male single,none,4,car,63,none,own,2,unskilled resident,1,none,yes,bad
no checking,6,existing paid,new car,338,100<=X<500,>=7,4,male mar/wid,none,4,car,52,none,own,2,skilled,1,none,yes,good
no checking,10,existing paid,new car,1107,no known savings,1<=X<4,2,male single,none,3,real estate,25,none,own,2,unemp/unskilled non res,1,none,yes,good
no checking,15,no credits/all paid,new car,1200,100<=X<500,>=7,4,female div/dep/mar,none,4,no known property,42,none,own,2,unskilled resident,2,yes,yes,good
0<=X<200,24,delayed previously,used car,1231,<100,>=7,4,female div/dep/mar,none,4,real estate,56,none,own,3,unskilled resident,1,yes,yes,bad
no checking,24,existing paid,used car,1603,<100,>=7,4,male single,none,4,life insurance,65,none,own,2,unskilled resident,1,none,yes,bad
no checking,12,existing paid,new car,1680,<100,4<=X<7,2,male single,none,4,life insurance,54,none,own,2,unskilled resident,1,yes,yes,good
0<=X<200,12,critical/other existing credit,new car,1138,no known savings,>=7,3,male single,none,4,real estate,63,none,own,2,unskilled resident,1,yes,yes,good
no checking,6,existing paid,new car,1169,<100,>=7,4,male single,none,4,real estate,52,none,own,1,skilled,2,yes,yes,good
<0,18,existing paid,new car,3190,<100,1<=X<4,4,male single,guarantor,4,life insurance,27,none,rent,1,unskilled resident,1,none,yes,good
<0,30,no credits/all paid,used car,2522,<100,>=7,4,male single,guarantor,3,life insurance,54,none,rent,2,skilled,1,none,yes,good
no checking,12,existing paid,used car,1364,<100,>=7,4,male single,none,4,life insurance,50,none,own,2,skilled,1,none,yes,good
no checking,48,no credits/all paid,education,7763,<100,>=7,2,female div/dep/mar,guarantor,3,life insurance,41,none,own,1,skilled,1,none,yes,good
0<=X<200,18,existing paid,furniture/equipment,3509,<100,<1,3,male single,none,4,real estate,30,none,own,1,skilled,2,yes,yes,good
0<=X<200,18,existing paid,furniture/equipment,2600,<100,1<=X<4,4,male single,none,4,real estate,64,none,own,2,unskilled resident,1,none,yes,good
<0,36,existing paid,education,2323,<100,>=7,4,male single,none,4,real estate,43,none,own,2,unskilled resident,1,yes,yes,bad
no checking,21,existing paid,new car,1835,<100,1<=X<4,3,male mar/wid,none,4,car,65,none,own,2,unskilled resident,1,none,yes,good
no checking,36,existing paid,education,4795,<100,>=7,3,male single,none,4,life insurance,38,none,own,2,unskilled resident,1,none,yes,good
>=200,24,all paid,used car,2384,<100,>=7,4,male single,none,4,real estate,53,none,own,2,skilled,1,none,yes,bad
<0,18,existing paid,furniture/equipment,2389,<100,>=7,4,male single,none,4,life insurance,46,none,own,1,skilled,1,none,yes,good
>=200,15,critical/other existing credit,furniture/equipment,1498,<100,1<=X<4,4,male single,none,4,no known property,42,none,own,2,unskilled resident,1,yes,yes,good
no checking,18,critical/other existing credit,furniture/equipment,3190,<100,4<=X<7,4,male single,none,4,life insurance,27,none,rent,2,unskilled resident,1,none,yes,good
no checking,30,existing paid,business,1919,no known savings,>=7,4,male single,none,4,car,42,none,own,3,unskilled resident,1,yes,yes,bad
<0,24,existing paid,used car,1835,<100,>=7,4,male single,none,2,car,42,none,own,2,unskilled resident,1,yes,yes,bad
<0,9,critical/other existing credit,repairs,684,<100,>=7,4,male mar/wid,none,4,life insurance,67,none,own,2,unskilled resident,1,yes,yes,good
<0,48,existing paid,education,6999,<100,>=7,3,male single,none,4,no known property,42,stores,own,1,skilled,1,none,yes,good
no checking,24,existing paid,used car,1987,<100,>=7,1,male div/sep,none,4,car,49,none,own,1,skilled,2,yes,yes,bad
<0,11,critical/other existing credit,new car,727,500<=X<1000,<1,4,male single,none,4,life insurance,67,none,own,4,skilled,1,none,yes,good
>=200,27,existing paid,new car,3416,<100,>=7,3,male single,none,4,life insurance,42,bank,own,2,unskilled resident,1,yes,yes,good
no checking,15,delayed previously,furniture/equipment,2315,<100,4<=X<7,1,female div/dep/mar,none,4,real estate,49,none,own,2,skilled,1,none,yes,good
no checking,30,existing paid,business,2520,>=1000,>=7,1,male single,guarantor,4,real estate,52,none,own,2,skilled,1,yes,yes,bad
no checking,11,existing paid,new car,684,100<=X<500,>=7,4,male single,none,4,life insurance,47,none,own,2,unskilled resident,2,yes,yes,good
<0,24,existing paid,used car,2439,<100,>=7,4,male single,none,3,real estate,45,none,rent,2,unskilled resident,1,none,yes,bad
no checking,21,critical/other existing credit,furniture/equipment,2439,<100,>=7,2,female div/dep/mar,none,4,life insurance,64,none,own,2,unskilled resident,1,yes,yes,good
no checking,12,existing paid,radio/tv,1107,<100,>=7,2,male mar/wid,none,3,life insurance,30,none,own,2,unskilled resident,2,yes,yes,good
no checking,48,no credits/all paid,furniture/equipment,7763,<100,4<=X<7,2,male single,none,4,car,42,none,own,2,skilled,1,none,yes,bad
<0,24,delayed previously,business,1835,<100,1<=X<4,4,male single,none,4,car,63,none,own,3,unskilled resident,1,yes,yes,bad
no checking,12,critical/other existing credit,new car,1053,<100,1<=X<4,2,male single,none,4,life insurance,54,none,own,2,skilled,1,none,yes,good
no checking,9,existing paid,new car,1498,500<=X<1000,1<=X<4,4,male single,none,4,life insurance,51,none,own,3,skilled,1,yes,yes,good
<0,12,existing paid,new car,1366,<100,>=7,4,male single,none,4,real estate,52,none,own,2,skilled,1,none,yes,good
no checking,18,existing paid,new car,3190,<100,4<=X<7,3,male single,none,4,life insurance,47,bank,own,1,skilled,1,yes,yes,good
0<=X<200,24,all paid,used car,3660,no known savings,>=7,2,female div/dep/mar,guarantor,3,real estate,41,none,rent,2,unskilled resident,1,yes,yes,bad
0<=X<200,36,critical/other existing credit,education,2323,<100,>=7,1,male single,none,4,life insurance,64,none,own,2,unskilled resident,1,none,yes,bad
0<=X<200,48,existing paid,repairs,10722,<100,1<=X<4,1,male single,none,4,car,47,none,own,1,skilled,1,none,no,bad
<0,9,existing paid,new car,1498,<100,1<=X<4,2,male single,none,4,car,52,none,own,2,skilled,1,none,yes,good
0<=X<200,15,critical/other existing credit,business,1138,<100,1<=X<4,4,male single,none,4,no known property,54,none,own,2,skilled,1,none,yes,good
0<=X<200,6,critical/other existing credit,furniture/equipment,448,500<=X<1000,4<=X<7,4,male single,none,4,life insurance,67,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
no checking,15,existing paid,furniture/equipment,1364,<100,>=7,4,male single,none,4,real estate,42,none,own,2,unskilled resident,1,yes,yes,good
no checking,24,all paid,radio/tv,3357,<100,>=7,3,male single,none,4,life insurance,23,none,rent,2,unskilled resident,1,yes,yes,bad
no checking,36,critical/other existing credit,used car,3804,<100,>=7,4,male single,none,4,life insurance,48,none,own,2,skilled,1,none,yes,bad
<0,21,existing paid,new car,2384,<100,>=7,4,male single,none,4,real estate,36,none,own,2,unskilled resident,1,none,yes,good
no checking,18,critical/other existing credit,new car,1880,500<=X<1000,1<=X<4,4,male single,none,2,car,48,none,rent,2,unskilled resident,1,yes,yes,bad
0<=X<200,12,existing paid,radio/tv,1200,<100,1<=X<4,2,male single,none,4,car,54,none,own,1,skilled,1,yes,yes,good
0<=X<200,18,existing paid,furniture/equipment,1880,<100,1<=X<4,4,male single,none,4,car,43,none,own,3,unskilled resident,1,yes,no,good
<0,42,critical/other existing credit,furniture/equipment,3031,<100,>=7,4,male single,none,4,life insurance,47,bank,own,2,unskilled resident,1,yes,yes,good
no checking,24,existing paid,business,1835,500<=X<1000,>=7,4,female div/dep/mar,none,4,car,43,none,own,2,unskilled resident,1,yes,yes,bad
no checking,6,critical/other existing credit,new car,1957,<100,1<=X<4,1,male single,none,2,life insurance,46,none,own,2,skilled,2,yes,yes,good
no checking,48,critical/other existing credit,education,3931,<100,>=7,3,male single,none,4,life insurance,47,none,own,1,unskilled resident,1,yes,yes,good
no checking,24,all paid,new car,1603,<100,1<=X<4,4,male mar/wid,none,4,real estate,52,none,own,2,skilled,1,none,yes,bad
>=200,12,existing paid,new car,709,<100,>=7,4,male single,none,4,real estate,63,none,own,1,unskilled resident,1,yes,yes,good
0<=X<200,24,existing paid,used car,1987,<100,>=7,2,male single,none,4,real estate,40,none,own,2,unskilled resident,2,yes,yes,bad
no checking,24,critical/other existing credit,used car,3357,>=1000,>=7,3,male single,none,4,life insurance,37,none,own,2,unskilled resident,1,yes,yes,bad
no checking,18,existing paid,furniture/equipment,3190,<100,1<=X<4,4,male single,none,4,life insurance,37,none,own,2,unskilled resident,1,yes,yes,good
no checking,24,all paid,new car,1938,no known savings,1<=X<4,4,male single,none,4,car,54,none,own,2,skilled,1,yes,yes,bad
no checking,36,delayed previously,education,2337,<100,>=7,1,male single,none,3,real estate,39,none,own,1,unskilled resident,1,yes,yes,bad
no checking,48,existing paid,education,7476,<100,1<=X<4,4,male single,none,4,no known property,42,stores,own,2,skilled,1,none,yes,good
0<=X<200,24,existing paid,radio/tv,1835,<100,>=7,4,female div/dep/mar,none,4,car,50,none,own,2,skilled,1,yes,yes,bad
<0,27,existing paid,used car,3416,<100,>=7,3,male single,guarantor,3,life insurance,57,bank,for free,1,unskilled resident,1,yes,yes,good
0<=X<200,15,critical/other existing credit,furniture/equipment,1200,100<=X<500,>=7,4,male mar/wid,none,4,life insurance,63,none,own,2,unskilled resident,1,yes,yes,good
no checking,24,existing paid,used car,2606,<100,>=7,4,male single,none,4,life insurance,36,none,own,2,skilled,1,none,yes,bad
0<=X<200,24,all paid,radio/tv,1659,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,42,none,own,2,unskilled resident,1,yes,yes,bad
<0,24,existing paid,new car,2439,<100,4<=X<7,4,male single,none,4,real estate,40,none,own,1,unskilled resident,1,yes,yes,bad
no checking,10,existing paid,new car,674,500<=X<1000,>=7,4,male mar/wid,none,4,real estate,48,none,own,2,unskilled resident,2,yes,yes,good
0<=X<200,36,existing paid,used car,2671,<100,>=7,4,male single,guarantor,4,real estate,36,none,own,2,skilled,1,none,yes,good
>=200,12,existing paid,furniture/equipment,1053,<100,>=7,4,male single,none,4,real estate,63,none,own,3,unskilled resident,1,yes,yes,good
<0,24,delayed previously,used car,1231,<100,>=7,4,male mar/wid,none,4,no known property,43,none,own,2,unskilled resident,2,yes,yes,bad
no checking,18,existing paid,furniture/equipment,1345,<100,1<=X<4,4,female div/dep/mar,none,4,no known property,52,none,own,2,skilled,1,none,yes,good
<0,21,critical/other existing credit,repairs,1659,<100,>=7,4,female div/dep/mar,none,4,no known property,50,none,own,2,skilled,1,yes,yes,good
no checking,20,critical/other existing credit,new car,2606,<100,4<=X<7,4,male single,none,4,life insurance,40,none,own,2,unskilled resident,1,yes,yes,good
<0,6,critical/other existing credit,radio/tv,448,500<=X<1000,>=7,4,female div/dep/mar,none,4,life insurance,52,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,10,critical/other existing credit,furniture/equipment,2214,<100,4<=X<7,1,male single,none,2,real estate,46,none,own,1,unskilled resident,1,yes,no,good
<0,14,existing paid,business,795,<100,<1,4,female div/dep/mar,none,3,car,33,bank,own,2,skilled,2,none,yes,bad
0<=X<200,42,critical/other existing credit,education,3965,<100,>=7,4,male single,none,4,life insurance,49,none,own,2,skilled,1,yes,yes,bad
no checking,30,existing paid,used car,1919,<100,>=7,4,male single,none,4,car,65,none,own,3,unskilled resident,1,none,yes,bad
0<=X<200,24,critical/other existing credit,used car,1546,<100,>=7,4,female div/dep/mar,none,4,no known property,63,none,own,2,unskilled resident,1,yes,yes,bad
no checking,28,existing paid,used car,2522,<100,>=7,4,male single,none,4,life insurance,53,none,own,2,unskilled resident,1,none,yes,good
0<=X<200,24,all paid,used car,1231,no known savings,>=7,4,female div/dep/mar,none,4,life insurance,50,none,own,1,skilled,1,yes,yes,bad
no checking,42,existing paid,education,3965,<100,>=7,4,male single,none,4,life insurance,49,none,own,2,unskilled resident,2,yes,yes,good
0<=X<200,12,existing paid,new car,1200,100<=X<500,>=7,3,male mar/wid,none,3,car,45,none,rent,3,skilled,1,none,yes,good
<0,60,existing paid,furniture/equipment,7297,<100,1<=X<4,3,male single,none,4,no known property,63,none,own,1,skilled,1,none,yes,good
no checking,48,existing paid,used car,7763,<100,1<=X<4,2,female div/dep/mar,guarantor,4,real estate,42,bank,own,2,skilled,1,none,yes,bad
no checking,30,no credits/all paid,business,2991,no known savings,>=7,3,male single,guarantor,4,life insurance,45,bank,own,1,unskilled resident,1,none,yes,good
>=200,15,existing paid,new car,1364,<100,4<=X<7,3,male mar/wid,none,4,life insurance,52,none,own,2,unskilled resident,1,none,yes,good
<0,20,critical/other existing credit,new car,1835,<100,>=7,3,male single,none,4,car,56,bank,own,3,unskilled resident,1,yes,yes,good
no checking,18,existing paid,repairs,1936,<100,>=7,4,female div/dep/mar,none,4,car,42,none,own,2,unskilled resident,1,yes,yes,good
<0,24,existing paid,used car,1282,100<=X<500,1<=X<4,4,male single,none,4,no known property,50,none,own,2,skilled,1,yes,yes,bad
no checking,14,existing paid,furniture/equipment,727,100<=X<500,>=7,4,male single,none,4,life insurance,63,none,own,3,unskilled resident,1,yes,yes,bad
<0,30,existing paid,used car,2520,<100,>=7,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
<0,27,critical/other existing credit,used car,2520,<100,4<=X<7,4,male single,guarantor,4,life insurance,36,none,own,1,skilled,1,none,yes,good
0<=X<200,48,critical/other existing credit,used car,6999,<100,4<=X<7,4,male single,none,4,no known property,46,none,own,2,skilled,1,none,yes,bad
no checking,30,existing paid,business,2520,<100,>=7,1,male single,guarantor,4,real estate,36,none,own,2,skilled,1,none,yes,bad
no checking,6,critical/other existing credit,radio/tv,338,<100,>=7,4,female div/dep/mar,none,4,car,52,none,own,2,skilled,2,yes,yes,good
0<=X<200,12,existing paid,used car,1053,no known savings,>=7,2,male single,none,4,car,63,none,own,1,unskilled resident,1,yes,yes,good
0<=X<200,24,all paid,used car,1231,no known savings,>=7,4,female div/dep/mar,none,4,no known property,50,none,own,1,unskilled resident,1,yes,yes,bad
no checking,12,existing paid,new car,1053,<100,1<=X<4,4,male single,none,4,real estate,65,none,own,2,unskilled resident,1,yes,yes,good
no checking,12,critical/other existing credit,new car,701,<100,>=7,4,male single,none,4,real estate,52,none,own,2,skilled,1,yes,yes,bad
no checking,21,critical/other existing credit,new car,2439,<100,1<=X<4,2,male mar/wid,none,4,life insurance,46,bank,own,1,skilled,1,yes,yes,good
no checking,12,existing paid,furniture/equipment,709,<100,>=7,4,female div/dep/mar,none,4,real estate,54,none,own,2,skilled,1,none,yes,bad
0<=X<200,14,existing paid,business,1680,<100,4<=X<7,2,male single,none,4,life insurance,54,none,own,1,skilled,1,yes,yes,good
<0,18,delayed previously,new car,1882,<100,1<=X<4,4,male single,none,4,car,63,none,own,2,skilled,1,yes,yes,good
no checking,36,all paid,furniture/equipment,2337,<100,>=7,4,male single,none,4,life insurance,52,none,own,1,skilled,1,none,yes,bad
no checking,12,existing paid,used car,1498,<100,4<=X<7,2,male single,none,4,real estate,63,none,own,2,unskilled resident,1,none,yes,good
0<=X<200,12,existing paid,new car,727,<100,>=7,4,male single,none,4,real estate,54,none,own,2,skilled,1,yes,yes,bad
0<=X<200,20,all paid,furniture/equipment,1938,<100,1<=X<4,4,male single,none,4,car,56,none,own,2,unskilled resident,1,yes,yes,good
no checking,48,existing paid,furniture/equipment,10722,<100,4<=X<7,2,male single,guarantor,3,car,41,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,24,critical/other existing credit,new car,1546,<100,>=7,4,female div/dep/mar,none,4,no known property,63,none,own,2,unskilled resident,1,none,yes,bad
0<=X<200,12,existing paid,new car,727,<100,<1,4,male single,none,4,life insurance,50,none,own,2,unskilled resident,1,yes,yes,bad
<0,6,existing paid,radio/tv,1957,<100,1<=X<4,1,male single,none,4,real estate,47,none,own,1,skilled,2,yes,yes,good
no checking,15,existing paid,business,684,<100,<1,4,female div/dep/mar,none,4,life insurance,65,none,own,3,unskilled resident,1,yes,yes,good
no checking,20,existing paid,new car,1603,<100,>=7,4,female div/dep/mar,none,4,no known property,50,none,own,2,skilled,1,yes,yes,good
no checking,24,all paid,used car,1603,<100,>=7,4,male single,none,2,car,60,none,for free,2,skilled,1,none,yes,bad
no checking,24,existing paid,used car,1603,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,50,none,own,2,unskilled resident,1,none,yes,bad
<0,60,existing paid,furniture/equipment,14027,<100,>=7,1,male single,guarantor,4,no known property,42,none,for free,2,skilled,1,none,yes,bad
<0,6,critical/other existing credit,furniture/equipment,338,<100,>=7,3,male single,none,4,car,67,none,own,2,skilled,1,yes,yes,good
no checking,9,critical/other existing credit,new car,2315,<100,<1,1,female div/dep/mar,none,2,real estate,46,none,own,2,skilled,1,none,yes,good
no checking,18,existing paid,new car,2600,<100,4<=X<7,4,male single,none,4,life insurance,36,none,own,1,skilled,2,none,yes,good
<0,12,existing paid,radio/tv,2214,100<=X<500,>=7,4,male single,none,2,no known property,60,none,own,1,unskilled resident,1,none,yes,bad
0<=X<200,48,existing paid,education,3931,<100,>=7,4,male single,none,4,life insurance,58,none,own,1,unskilled resident,1,yes,yes,bad
0<=X<200,48,no credits/all paid,repairs,10722,<100,4<=X<7,2,female div/dep/mar,none,4,life insurance,38,none,own,1,skilled,1,none,yes,good
no checking,12,existing paid,new car,1364,<100,>=7,4,male single,none,4,real estate,52,none,own,1,skilled,1,yes,yes,good
no checking,9,critical/other existing credit,other,1498,<100,1<=X<4,2,male mar/wid,none,4,real estate,51,none,own,2,skilled,1,yes,yes,good
no checking,12,all paid,new car,1498,<100,1<=X<4,2,male single,none,4,real estate,54,none,own,2,unskilled resident,1,yes,yes,good
0<=X<200,9,existing paid,repairs,795,100<=X<500,<1,4,male single,none,4,life insurance,67,none,own,2,unskilled resident,1,none,yes,good
no checking,18,critical/other existing credit,new car,1880,<100,>=7,4,male single,none,4,car,52,none,own,2,unskilled resident,1,yes,yes,good
<0,48,existing paid,repairs,7476,<100,>=7,4,male single,none,3,car,39,bank,own,1,skilled,1,none,yes,bad
0<=X<200,48,no credits/all paid,repairs,10722,<100,4<=X<7,2,male single,none,4,no known property,42,bank,for free,1,skilled,1,none,yes,good
<0,12,all paid,radio/tv,2214,<100,4<=X<7,3,male single,none,2,car,60,none,own,2,unskilled resident,1,none,yes,good
0<=X<200,20,all paid,furniture/equipment,2384,<100,4<=X<7,4,male single,none,4,life insurance,53,none,own,2,skilled,1,yes,yes,good
<0,12,existing paid,used car,385,100<=X<500,4<=X<7,4,male single,none,4,life insurance,42,none,own,2,unskilled resident,2,yes,yes,bad
no checking,24,existing paid,new car,1659,<100,1<=X<4,4,female div/dep/mar,none,2,car,45,none,own,2,unskilled resident,1,yes,yes,bad
no checking,24,existing paid,used car,1282,no known savings,>=7,4,female div/dep/mar,none,2,life insurance,38,none,own,2,unskilled resident,2,yes,yes,bad
<0,18,existing paid,new car,3190,<100,4<=X<7,3,male single,guarantor,4,life insurance,30,none,own,2,unskilled resident,2,none,yes,good
0<=X<200,24,existing paid,new car,2384,<100,>=7,4,male single,none,4,life insurance,40,none,own,2,unskilled resident,1,yes,yes,bad
<0,24,existing paid,used car,1987,<100,1<=X<4,1,male div/sep,none,4,life insurance,64,none,own,2,unskilled resident,1,yes,yes,bad
0<=X<200,39,critical/other existing credit,education,1845,<100,>=7,4,female div/dep/mar,none,4,no known property,50,none,own,3,skilled,1,yes,yes,bad
no checking,18,critical/other existing credit,new car,3190,<100,4<=X<7,1,female div/dep/mar,guarantor,4,real estate,47,bank,own,2,unskilled resident,1,yes,yes,good
no checking,24,all paid,used car,3660,<100,>=7,2,female div/dep/mar,none,3,real estate,39,none,own,2,unskilled resident,1,yes,yes,bad
0<=X<200,12,critical/other existing credit,used car,2315,100<=X<500,>=7,3,male single,none,2,no known property,48,none,own,2,unskilled resident,1,yes,yes,bad
<0,39,delayed previously,education,3031,<100,>=7,4,male single,guarantor,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes,good
0<=X<200,12,existing paid,used car,701,<100,>=7,4,male single,none,4,life insurance,56,none,own,2,unskilled resident,1,none,yes,good
no checking,24,existing paid,used car,1987,<100,4<=X<7,2,male single,none,4,real estate,64,none,own,2,unskilled resident,1,yes,yes,bad
no checking,24,existing paid,business,1659,<100,>=7,4,male single,none,4,real estate,56,none,own,3,unskilled resident,1,yes,yes,bad
no checking,15,existing paid,new car,1498,<100,4<=X<7,4,male single,none,4,no known property,65,none,own,2,skilled,1,yes,yes,good
0<=X<200,6,existing paid,new car,2647,500<=X<1000,4<=X<7,1,female div/dep/mar,none,4,real estate,67,none,own,1,skilled,2,yes,yes,good
0<=X<200,6,existing paid,radio/tv,448,100<=X<500,>=7,4,male single,none,4,car,67,none,own,2,skilled,1,none,yes,good
0<=X<200,12,existing paid,new car,1498,<100,1<=X<4,2,male mar/wid,none,4,real estate,52,none,own,2,skilled,1,yes,yes,good
>=200,18,existing paid,furniture/equipment,3509,<100,>=7,4,male single,none,4,real estate,37,none,own,2,unskilled resident,1,yes,yes,good
<0,6,critical/other existing credit,new car,1957,<100,1<=X<4,2,male mar/wid,none,4,real estate,47,none,own,2,skilled,2,yes,yes,good
0<=X<200,12,delayed previously,furniture/equipment,1498,500<=X<1000,1<=X<4,2,male single,none,4,life insurance,63,none,own,2,skilled,1,yes,yes,good
>=200,20,existing paid,radio/tv,1835,<100,>=7,4,male mar/wid,none,4,car,56,none,own,3,unskilled resident,1,yes,yes,good
no checking,36,critical/other existing credit,furniture/equipment,2302,<100,>=7,4,male single,none,4,real estate,46,none,own,2,unskilled resident,1,yes,yes,bad
no checking,21,existing paid,new car,1823,<100,>=7,3,female div/dep/mar,none,4,car,56,none,own,2,unskilled resident,1,none,yes,good
no checking,24,existing paid,used car,2439,<100,>=7,4,male single,none,4,life insurance,64,none,own,2,unskilled resident,1,yes,yes,good
<0,48,critical/other existing credit,furniture/equipment,6999,<100,1<=X<4,3,male single,none,4,no known property,42,stores,own,1,skilled,1,none,yes,bad
<0,21,critical/other existing credit,radio/tv,3660,<100,<1,4,male single,none,3,life insurance,39,none,rent,2,unskilled resident,2,yes,yes,bad
<0,6,critical/other existing credit,new car,1957,<100,1<=X<4,2,male mar/wid,none,3,life insurance,35,none,rent,2,unskilled resident,1,none,yes,good
<0,42,critical/other existing credit,education,3965,<100,>=7,2,male single,none,3,real estate,41,none,own,2,unskilled resident,1,yes,yes,good
no checking,6,existing paid,new car,2647,<100,<1,1,male single,none,4,real estate,51,none,own,2,skilled,1,yes,yes,good
<0,48,critical/other existing credit,used car,10722,<100,>=7,4,male single,none,4,no known property,46,none,for free,2,high qualif/self emp/mgmt,2,none,yes,bad
0<=X<200,6,existing paid,new car,1957,<100,1<=X<4,1,male single,none,4,real estate,47,none,own,2,skilled,2,yes,yes,good
>=200,18,existing paid,new car,1936,no known savings,4<=X<7,4,male single,none,4,car,52,none,own,2,skilled,1,yes,yes,good
<0,24,existing paid,used car,3660,<100,>=7,2,male single,guarantor,4,life insurance,47,none,own,2,skilled,1,yes,yes,bad
<0,15,no credits/all paid,furniture/equipment,2214,<100,>=7,2,male single,none,4,life insurance,52,none,own,2,skilled,1,yes,yes,good
no checking,6,existing paid,new car,2647,<100,1<=X<4,1,female div/dep/mar,guarantor,4,real estate,48,none,own,2,skilled,1,yes,yes,good
0<=X<200,21,existing paid,new car,3660,<100,>=7,3,male single,none,4,life insurance,30,bank,own,2,unskilled resident,2,yes,yes,good
<0,12,no credits/all paid,furniture/equipment,2214,<100,4<=X<7,4,male single,none,2,no known property,60,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,39,critical/other existing credit,education,4746,<100,>=7,3,male single,none,4,car,42,none,own,2,unskilled resident,1,none,yes,good
no checking,6,critical/other existing credit,furniture/equipment,2647,<100,<1,2,male single,none,4,real estate,52,none,own,1,skilled,2,yes,yes,good
no checking,24,existing paid,used car,1835,<100,>=7,4,male single,none,4,car,56,none,own,3,skilled,1,yes,yes,bad
0<=X<200,12,existing paid,radio/tv,1364,<100,>=7,4,male single,none,4,real estate,63,none,own,2,unskilled resident,1,yes,yes,good
no checking,24,existing paid,used car,1938,no known savings,1<=X<4,4,female div/dep/mar,none,2,car,54,none,rent,1,skilled,1,none,yes,bad
<0,48,no credits/all paid,education,3931,<100,>=7,4,male single,none,4,life insurance,57,none,own,2,unskilled resident,1,yes,yes,bad
>=200,9,existing paid,radio/tv,684,<100,>=7,4,male mar/wid,none,4,car,52,none,own,2,skilled,1,yes,yes,good
0<=X<200,36,critical/other existing credit,used car,3804,<100,>=7,4,male single,none,4,life insurance,49,none,own,1,unskilled resident,1,none,yes,good
